## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.subtema,entity.assuntos,entity.tiposolucao,entity.perfilusuario,entity.porteempresa,entity.segmentos,entity.familia,entity.produtor,entity.publicoalvo
51,Qual o segredo do sucesso?,Planejamento, ,https://i.scdn.co/image/ab6765630000ba8a5c61076b8fcc3b7c142ce593,0,https://open.spotify.com/episode/38SSGf5qKeQZ202n8QuWm6,Conteúdos, ,Sim,Planejamento Estratégico,Sucesso,Áudio,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
52,Startup: veja como conseguir oportunidades de investimentos,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/1793fdb0-7ade-3b44-8932-788b8757d5f1.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/startup-veja-como-conseguir-oportunidades-de-investimentos,fdba08393e9f1810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Transformação Digital,Empreendedorismo; Inovação,Artigo,Sou Startup,ME,TIC,Faça,Sebrae Nacional,ME
53,Série MEI: passo a passo para formalização,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/1e6ad862-7e02-38a2-ae90-6179ddddaffe.png,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ms/artigos/serie-mei-passo-a-passo-para-formalizacao,a195c80ded253510VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento Estratégico,Planejamento,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
54,10 ideias de como ganhar dinheiro na internet sem sair de casa,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/094a5e5f-6209-35b7-909a-c0f4d398551a.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/10-ideias-de-como-ganhar-dinheiro-na-internet-sem-sair-de-casa,4a5cc4ec9b805810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento Estratégico,Ideias,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
55,Como promover uma cultura de diversidade e inclusão na sua empresa,Pessoas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/cdc924fa-6176-3989-b910-9ff40fbecd19.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/como-promover-uma-cultura-de-diversidade-e-inclusao-na-sua-empresa,915d6621e4184810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Trabalho em Equipe,Diversidade,Artigo,Sou Empreendedor,ME,TODOS,Seja,Sebrae Nacional,ME
56,Conheça o sistema de franquias,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/9c2f9a75-c0ee-3f44-ad88-728609171ad1.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/conheca-o-sistema-de-franquias,6c9b39407feb3410VgnVCM1000003b74010aRCRD?utm_source=appna",Conteúdos, ,Sim,Franquias,Franquias,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
57,Negócios familiares: Dicas para garantir o sucesso,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/572973a8-7526-3264-a327-ea9b76b84528.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/negocios-familiares-dicas-para-garantir-o-sucesso,7c7f86062e60f510VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Plano de Negócio,Planejamento; Negócio familiar,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae AP,PF
58,Atendimento ao cliente: o que é e como fidelizar o consumidor,Mercado e Vendas, ,"https://sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/xAtendimento,P20ao,P20cliente.png.pagespeed.ic.IKNARnNAwD.webp",0,"https://sebrae.com.br/sites/PortalSebrae/artigos/atendimento-ao-cliente-o-que-e-como-fazer-para-fidelizar-o-consumidor,e4b0af9d324bb810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Relacionamentos com cliente - CRM,Cliente,Artigo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
59,Saiba o que é a moda circular e como integrá-la ao seu seu negócio,Mercado e Vendas, ,https://sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/PE/Imagens/MKT%20DE%20PRODUTO%20CARD%20-%20VAREJO%20DE%20MODA%20artigo%20(1).png,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/pe/artigos/saiba-o-que-e-a-moda-circular-e-como-integra-la-ao-seu-seu-negocio,a513188fb2c67810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Vendas,Vendas,Artigo,Sou Empreendedor,MEI,Moda,Faça,Sebrae PE,MEI
60,Confira dicas práticas e estratégicas para o Instagram,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/c54ca65e-ec3e-3846-9a0f-2699ef268860.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/dicas-praticas-para-o-instagram,ec92d8d523ab3710VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento estratégico de marketing,Marketing,Artigo,Sou Empreendedor,MEI,TODOS,Seja,Sebrae Nacional,MEI
61,Conforto inteligente: use energia com eficiência na hospedagem,Empreendedorismo, ,"https://sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/AL/Banner/xImagens,P20para,P20textos,P20do,P20portal,P20,P20,285,29.jpg.pagespeed.ic.sEoqY8vFZG.webp",0,"https://sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/conforto-inteligente-use-energia-com-eficiencia-na-hospedagem,c322bfc13efe7910VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Comportamento Empreendedor,Empreendedorismo; Inovação,Artigo,Sou Empreendedor,ME,Serviços,Faça,Sebrae AL,ME
62,Comportamento empreendedor,Pessoas, ,https://sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/AP/Artigos/comportamento%20empreendedor.png,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/comportamento-empreendedor,5181948d5dce8610VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Comportamento Empreendedor,Empreendedorismo,Artigo,Sou Empreendedor,PF,TODOS,Seja,Sebrae AP,PF
63,Como abrir um MEI,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/08147819-62d0-3e3d-801c-fc3587648d3b.png,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/decidiu-empreender-em-2022-veja-como-abrir-um-mei-de-graca,6c688d756edbf710VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento Estratégico,Planejamento,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
64,Novos comportamentos de consumo,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/3227df5f-05c6-355b-b962-e4dee735d6be.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/acad291740aa55fe897bf5c33ad2f055/$File/31684.mp3,Conteúdos, ,Sim,Planejamento Estratégico,Tendência; Consumo,Áudio,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
65,A importância de separar suas finanças pessoais da empresa,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/dfbd7fb5-c5c7-329f-be73-65a6df40a205.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/176e43e7362f20f70c41e0a72babdc81/$File/31758.mp3,Conteúdos, ,Sim,Controles Financeiros,Finanças Pessoais,Áudio,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
66,3 estratégias de sustentabilidade para aplicar em seu negócio,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/d149e23c-9f58-3f4b-bf2f-54f5709ccccc.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/46df767e101c27c06cd026ff76c1f082/$File/31680.mp3,Conteúdos, ,Sim,Planejamento Estratégico,Sustentabilidade,Áudio,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
67,O consumo do futuro,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e3b29428-9d71-32e3-8dcd-b76ddef51505.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/72501b247b91785cb934dcfa40c3067e/$File/31677.mp3,Conteúdos, ,Sim,Transformação Digital,Futurismo,Áudio,Sou Empreendedor,ME,TODOS,Comece,Sebrae Nacional,ME
68,Dicas para gestão de contas a receber,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/ea64ca58-0ca6-3b58-809b-2111e0f81fd0.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/0b00d03bd0dbf42e122fa8e7ed1dcd28/$File/31672.mp3,Conteúdos, ,Sim,Controles Financeiros,Contas a Receber,Áudio,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
69,Como agregar valor a produtos regionais e alcançar novos mercados,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/fe6238be-b013-3c06-9183-b17eb728c260.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/am/banner/como-agregar-valor-a-produtos-regionais-e-alcancar-novos-mercados,65a61da0551d7910VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Inteligência de mercado,Produtos,Artigo,Sou Empreendedor,ME,Alimentos e Bebidas,Alcance,Sebrae Nacional,ME
70,Movimento clean label: o rótulo que todos conseguem entender,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e55839ef-2438-3cfb-8518-4b06430afc42.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/movimento-clean-label-o-rotulo-que-todos-conseguem-entender,a37e7bd8e8bc5810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Inteligência de mercado,Design; Rótulo,Artigo,Sou Empreendedor,ME,Alimentos e Bebidas,Faça,Sebrae Nacional,ME
71,Quer levar seu negócio de alimentos e bebidas a um novo patamar?,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/d2be0e1f-f5e7-35cb-a392-d4a7a804aa57.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/am/artigos/quer-levar-seu-negocio-de-alimentos-e-bebidas-a-um-novo-patamar,ea3e2a1d945b6910VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Inteligência de mercado,Crescimento,Artigo,Sou Empreendedor,ME,Alimentos e Bebidas,Faça,Sebrae Nacional,ME
72,Conforto inteligente: use energia com eficiência na hospedagem,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/1e5fe9f0-c731-3f86-a024-7c257561a67d.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/conforto-inteligente-use-energia-com-eficiencia-na-hospedagem,c322bfc13efe7910VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento Estratégico,Eficiência,Artigo,Sou Empreendedor,EPP,Energia,Alcance,Sebrae Nacional,EPP
73,Potencialidades em energia eólica,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35444.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/d10660c9ba22f77f3355ba44c2f21f7d/$File/InfogrficoPotencialidadesemEnergiaElicav412023%2035444.pdf,Conteúdos, ,Sim,Planejamento Estratégico,"Vento, Eólica",Infográfico,Sou Empreendedor,EPP,Energia,Alcance,Sebrae Nacional,EPP
74,Potencialidades do hidrogênio,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35445.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/b638c9b9b0e665ceed0d67ab1fde1229/$File/InfogrficoPotencialidadesdoHidrogniov312023%2035445.pdf,Conteúdos, ,Sim,Planejamento Estratégico,Hidrogênio,Infográfico,Sou Empreendedor,EPP,Energia,Alcance,Sebrae Nacional,EPP
75,Energia Eólica Offshore,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35432.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/ff423da5dba00f9882635203fdf60aa7/$File/BoletimEnergiaElicaOffshoreVfinal2%2035432.pdf,Conteúdos, ,Sim,Planejamento Estratégico,"Vento, Eólica",E-book,Sou Empreendedor,ME,Energia,Faça,Sebrae Nacional,ME
76,Destrave sua Criatividade,Inovação, ,https://digital.rn.sebrae.com.br/conteudos/ebook/destrave-sua-criatividade,0,https://digital.rn.sebrae.com.br/conteudos/ebook/destrave-sua-criatividade,Conteúdos, ,Sim,Transformação Digital,Design,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae RN,PF
77,Controles financeiros para pequenas empresas,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/SEBRAE_banners_ebook_financeiro_pequenas_empresas.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/controles-financeiros-para-pequenas-empresas,Conteúdos, ,Sim,Controles Financeiros,Finanças,Artigo,Sou Empreendedor,EPP,TODOS,Faça,Sebrae RN,EPP
78,Como trabalhar a gestão da sua marca,Planejamento, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_4.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/como-trabalhar-a-gestao-da-sua-marca,Conteúdos, ,Sim,Planejamento Estratégico,Branding,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
79,Consumidor 4.0,Mercado e Vendas, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_5.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/consumidor-4-0,Conteúdos, ,Sim,Relacionamentos com cliente - CRM,Consumir; Comportamento,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
80,Técnicas de Copywriting,Planejamento, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_7.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/tecnicas-de-copywriting,Conteúdos, ,Sim,Planejamento Estratégico,Texto,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
81,Parceria com Startups: O que você precisa saber?,Planejamento, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/SEBRAE_banners_ebook_parceria_startup.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/parceria-com-startups-o-que-voce-precisa-saber,Conteúdos, ,Sim,Planejamento estratégico de marketing,Startups,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
82,Marketing Sensorial e Experiência do usuário,Planejamento, ,http://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Pe%C3%A7a_12.12_Banners_E-book_1926x557.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/marketing-sensorial-e-experiencia-do-usuario,Conteúdos, ,Sim,Planejamento Estratégico,Marketing,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
83,Saúde Mental e Bem Estar,Pessoas, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_3.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/saude-mental-e-bem-estar,Conteúdos, ,Sim,Comportamento Empreendedor,Saúde,Artigo,Sou Empreendedor,EPP,TODOS,Comece,Sebrae RN,EPP
84,Business Intelligence (BI),Mercado e Vendas, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_1.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/business-intelligence-bi,Conteúdos, ,Sim,Inteligência de mercado,BI,Artigo,Sou Empreendedor,EPP,TODOS,Alcance,Sebrae RN,EPP
85,Como produzir bons vídeos,Planejamento, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/BannerE-books_8.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/como-produzir-bons-videos,Conteúdos, ,Sim,Planejamento Estratégico,Vídeos,Artigo,Sou Empreendedor,ME,TODOS,Comece,Sebrae RN,ME
86,Como atender clientes de diversidade de gênero,Mercado e Vendas, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/SEBRAE_lgbt_Banners_E-book_1926x557.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/como-atender-clientes-de-diversidade-de-genero,Conteúdos, ,Sim,Relacionamentos com cliente - CRM,Diversidade,Artigo,Sou Empreendedor,ME,TODOS,Comece,Sebrae RN,ME
87,Pix: a (r)evolução continua!,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Pe%C3%A7a_48.01_Banner_1926x557.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/saude-mental-e-bem-estar,Conteúdos, ,Sim,Gestão Financeira,Pix,Artigo,Sou Empreendedor,ME,TODOS,Comece,Sebrae RN,ME
88,Cashback e as micro e pequenas empresas,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Banner_1926x557_8.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/cashback-e-as-micro-e-pequenas-empresas,Conteúdos, ,Sim,Controles Financeiros,Cashback,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
89,O que você precisa saber sobre endividamento empresarial,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Banner_1926x557_10.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/o-que-voce-precisa-saber-sobre-endividamento-empresarial,Conteúdos, ,Sim,Controles Financeiros,Dívida,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
90,Guia de finanças pessoais,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Banner_1926x557_4.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/guia-de-financas-pessoais,Conteúdos, ,Sim,Controles Financeiros,Finanças Pessoais,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae RN,PF
91,9 Dicas práticas para tirar fotos para o Instagram bombar,Inovação, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Banner-fotos-instagram.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/9-dicas-praticas-para-tirar-fotos-para-o-instagram-bombar,Conteúdos, ,Sim,Transformação Digital,Instagram,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae RN,PF
92,Conhecendo os Métodos Ágeis,Inovação, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Conhecendo-os-m%C3%A9todos-%C3%A1geis.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/conhecendo-os-metodos-ageis,Conteúdos, ,Sim,Transformação Digital,Métodos Ágeis,Artigo,Quero Empreender,PF,TODOS,Comece,Sebrae RN,PF
93,Inteligência Artificial para Negócios,Inovação, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/5.-Aumente-a-Visibilidade-do-seu-Site-Ebook.jpg,0,https://digital.rn.sebrae.com.br/conteudos/ebook/inteligencia-artificial-para-negocios,Conteúdos, ,Sim,Transformação Digital,IA,Artigo,Sou Empreendedor,ME,TODOS,Comece,Sebrae RN,ME
94,Gestão Financeira de negócios digitais,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Gest%C3%A3o-Financeira-de-Neg%C3%B3cios-Digitais.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/gestao-financeira-de-negocios-digitais,Conteúdos, ,Sim,Gestão Financeira,Digital,Artigo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae RN,MEI
95,Descomplicando o Crédito para MEIs e MPEs,Finanças, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Microfinan%C3%A7as-4.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/descomplicando-o-credito-para-meis-e-mpes,Conteúdos, ,Sim,Gestão Financeira,Crédito,Artigo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae RN,MEI
96,Os dados por trás de uma Estratégia de Vendas,Inovação, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Os-dados-por-tr%C3%A1s-de-uma-estrat%C3%A9gia-de-vendas-e-book.jpg,0,https://digital.rn.sebrae.com.br/conteudos/ebook/os-dados-por-tras-de-uma-estrategia-de-vendas,Conteúdos, ,Sim,Transformação Digital,Dados,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
97,Ferramentas para melhorar a produtividade,Planejamento, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Ferramentas-para-melhorar-a-produtividade-e-book.jpg,0,https://digital.rn.sebrae.com.br/conteudos/ebook/ferramentas-para-melhorar-a-produtividade,Conteúdos, ,Sim,Planejamento estratégico de marketing,Produtividade,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae RN,ME
98,Os benefícios do Google Meu Negócio,Mercado e Vendas, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/E-book-Google-meu-Nego%CC%81cio.jpg,0,https://digital.rn.sebrae.com.br/conteudos/ebook/os-beneficios-do-google-meu-negocio,Conteúdos, ,Sim,Vendas,Google,Artigo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae RN,MEI
99,Plataformas de Delivery,Inovação, ,https://digital.rn.sebrae.com.br/storage/imagem_conteudo/imagem/_251x132_crop_top-center_100_none/Plataformas-de-delivery.png,0,https://digital.rn.sebrae.com.br/conteudos/ebook/plataformas-de-delivery,Conteúdos, ,Sim,Transformação Digital,Delivery,Artigo,Sou Empreendedor,MEI,Alimentos e Bebidas,Comece,Sebrae RN,MEI
